ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Partial_Cognacy
NoeLae-7_night-1,,NoeLae,7_night,khɛm̥ə,khɛm̥ə,kʰ ɛ + m̥ ə,,Deepadung2015,,,,,1322 1323
BanPaw-7_night-1,,BanPaw,7_night,khɛm̥ə,khɛm̥ə,kʰ ɛ + m̥ ə,,Deepadung2015,,,,,1322 1323
ChaYeQing-7_night-1,,ChaYeQing,7_night,kham̥eːw,kham̥eːw,kʰ a + m̥ eːu̯,,Deepadung2015,,,,,1322 1323
GuangKa-7_night-1,,GuangKa,7_night,kasɛm,kasɛm,k a + s ɛ m,,Deepadung2015,,,,,175 1324
MangBang-7_night-1,,MangBang,7_night,kasəm,kasəm,k a + s ə m,,Deepadung2015,,,,,175 1324
NanSang-7_night-1,,NanSang,7_night,kasəm,kasəm,k a + s ə m,,Deepadung2015,,,,,175 1324
NamHsan-8_year-1,,NamHsan,8_year,sanәm,sanәm,s a + n ə m,,Deepadung2015,,,,,1858 2181
KhunHawt-8_year-1,,KhunHawt,8_year,sanәm,sanәm,s a + n ə m,,Deepadung2015,,,,,1858 2181
HtanHsan-8_year-1,,HtanHsan,8_year,sәnәm,sәnәm,s ə + n ə m,,Deepadung2015,,,,,1858 2181
PangKham-8_year-1,,PangKham,8_year,sanam,sanam,s a + n a m,,Deepadung2015,,,,,1858 2181
ManLoi-8_year-1,,ManLoi,8_year,sanam,sanam,s a + n a m,,Deepadung2015,,,,,1858 2181
MengDan-8_year-1,,MengDan,8_year,sənam,sənam,s ə + n a m,,Deepadung2015,,,,,1858 2181
ChuDongGua-8_year-1,,ChuDongGua,8_year,sanɔm,sanɔm,s a + n ɔ m,,Deepadung2015,,,,,1858 2181
XiangZhaiTang-8_year-1,,XiangZhaiTang,8_year,sanəm,sanəm,s a + n ə m,,Deepadung2015,,,,,1858 2181
PongNuea-8_year-1,,PongNuea,8_year,sanəm,sanəm,s a + n ə m,,Deepadung2015,,,,,1858 2181
NyaungGone-8_year-1,,NyaungGone,8_year,sanăm,sanăm,s a + n ă m,,Deepadung2015,,,,,1858 2181
NoeLae-8_year-1,,NoeLae,8_year,sanə̆m,sanə̆m,s a + n ə̆ m,,Deepadung2015,,,,,1858 2181
BanPaw-8_year-1,,BanPaw,8_year,sanăm,sanăm,s a + n ă m,,Deepadung2015,,,,,1858 2181
ChaYeQing-8_year-1,,ChaYeQing,8_year,khanam,khanam,kʰ a + n a m,,Deepadung2015,,,,,1322 2181
GuangKa-8_year-1,,GuangKa,8_year,sanam,sanam,s a + n a m,,Deepadung2015,,,,,1858 2181
MangBang-8_year-1,,MangBang,8_year,sanam,sanam,s a + n a m,,Deepadung2015,,,,,1858 2181
NanSang-8_year-1,,NanSang,8_year,sanam,sanam,s a + n a m,,Deepadung2015,,,,,1858 2181
NamHsan-9_water-1,,NamHsan,9_water,ʔoːm,ʔoːm,ʔ oː m,,Deepadung2015,,,,,2060
KhunHawt-9_water-1,,KhunHawt,9_water,ʔoːm,ʔoːm,ʔ oː m,,Deepadung2015,,,,,2060
HtanHsan-9_water-1,,HtanHsan,9_water,ʔoːm,ʔoːm,ʔ oː m,,Deepadung2015,,,,,2060
PangKham-9_water-1,,PangKham,9_water,ʔoːm,ʔoːm,ʔ oː m,,Deepadung2015,,,,,2060
ManLoi-9_water-1,,ManLoi,9_water,ʔoːm,ʔoːm,ʔ oː m,,Deepadung2015,,,,,2060
MengDan-9_water-1,,MengDan,9_water,ʔuːm,ʔuːm,ʔ uː m,,Deepadung2015,,,,,2060
ChuDongGua-9_water-1,,ChuDongGua,9_water,ʔuːm,ʔuːm,ʔ uː m,,Deepadung2015,,,,,2060
XiangZhaiTang-9_water-1,,XiangZhaiTang,9_water,Ɂɨm,Ɂɨm,ʔ ɨ m,,Deepadung2015,,,,,2060
PongNuea-9_water-1,,PongNuea,9_water,ʔɨm,ʔɨm,ʔ ɨ m,,Deepadung2015,,,,,2060
NyaungGone-9_water-1,,NyaungGone,9_water,ʔɨm,ʔɨm,ʔ ɨ m,,Deepadung2015,,,,,2060
NoeLae-9_water-1,,NoeLae,9_water,ʔɨm,ʔɨm,ʔ ɨ m,,Deepadung2015,,,,,2060
BanPaw-9_water-1,,BanPaw,9_water,Ɂɨm,Ɂɨm,ʔ ɨ m,,Deepadung2015,,,,,2060
ChaYeQing-9_water-1,,ChaYeQing,9_water,ʔɛm,ʔɛm,ʔ ɛ m,,Deepadung2015,,,,,2060
GuangKa-9_water-1,,GuangKa,9_water,ʔɛm,ʔɛm,ʔ ɛ m,,Deepadung2015,,,,,2060
MangBang-9_water-1,,MangBang,9_water,Ɂəm,Ɂəm,ʔ ə m,,Deepadung2015,,,,,2060
NanSang-9_water-1,,NanSang,9_water,Ɂəm,Ɂəm,ʔ ə m,,Deepadung2015,,,,,2060
NamHsan-10_earthsoil-1,,NamHsan,10_earthsoil,kәɗɛː,kәɗɛː,k ə + ɗ ɛː,,Deepadung2015,,,,,409 410
KhunHawt-10_earthsoil-1,,KhunHawt,10_earthsoil,kәndɛj,kәndɛj,k ə n + d ɛi̯,,Deepadung2015,,,,,409 410
HtanHsan-10_earthsoil-1,,HtanHsan,10_earthsoil,kaɗej,kaɗej,k a + ɗ ei̯,,Deepadung2015,,,,,175 410
PangKham-10_earthsoil-1,,PangKham,10_earthsoil,kaɗaːj,kaɗaːj,k a + ɗ aːi̯,,Deepadung2015,,,,,175 410
ManLoi-10_earthsoil-1,,ManLoi,10_earthsoil,kaɗaːj,kaɗaːj,k a + ɗ aːi̯,,Deepadung2015,,,,,175 410
MengDan-10_earthsoil-1,,MengDan,10_earthsoil,kədaj,kədaj,k ə + d ai̯,,Deepadung2015,,,,,175 410
ChuDongGua-10_earthsoil-1,,ChuDongGua,10_earthsoil,kaɗaːj,kaɗaːj,k a + ɗ aːi̯,,Deepadung2015,,,,,175 410
XiangZhaiTang-10_earthsoil-1,,XiangZhaiTang,10_earthsoil,kadɛːj,kadɛːj,k a + d ɛːi̯,,Deepadung2015,,,,,175 410
PongNuea-10_earthsoil-1,,PongNuea,10_earthsoil,kadaːj,kadaːj,k a + d aːi̯,,Deepadung2015,,,,,175 410
NyaungGone-10_earthsoil-1,,NyaungGone,10_earthsoil,kadaj,kadaj,k a + d ai̯,,Deepadung2015,,,,,175 410
NoeLae-10_earthsoil-1,,NoeLae,10_earthsoil,kadaj,kadaj,k a + d ai̯,,Deepadung2015,,,,,175 410
BanPaw-10_earthsoil-1,,BanPaw,10_earthsoil,kadaj,kadaj,k a + d ai̯,,Deepadung2015,,,,,175 410
ChaYeQing-10_earthsoil-1,,ChaYeQing,10_earthsoil,kadaːj,kadaːj,k a + d aːi̯,,Deepadung2015,,,,,175 410
GuangKa-10_earthsoil-1,,GuangKa,10_earthsoil,kataːj,kataːj,k a + t aːi̯,,Deepadung2015,,,,,175 410
MangBang-10_earthsoil-1,,MangBang,10_earthsoil,kataːj,kataːj,k a + t aːi̯,,Deepadung2015,,,,,175 410
NanSang-10_earthsoil-1,,NanSang,10_earthsoil,kataːj,kataːj,k a + t aːi̯,,Deepadung2015,,,,,175 410
NamHsan-11_stone-1,,NamHsan,11_stone,moː,moː,m oː,,Deepadung2015,,,,,1841
KhunHawt-11_stone-1,,KhunHawt,11_stone,moːw,moːw,m oːu̯,,Deepadung2015,,,,,1841
HtanHsan-11_stone-1,,HtanHsan,11_stone,moːw,moːw,m oːu̯,,Deepadung2015,,,,,1841
PangKham-11_stone-1,,PangKham,11_stone,maːw,maːw,m aːu̯,,Deepadung2015,,,,,1841
ManLoi-11_stone-1,,ManLoi,11_stone,maːw,maːw,m aːu̯,,Deepadung2015,,,,,1841
MengDan-11_stone-1,,MengDan,11_stone,mɛːw,mɛːw,m ɛːu̯,,Deepadung2015,,,,,1841
ChuDongGua-11_stone-1,,ChuDongGua,11_stone,maːw,maːw,m aːu̯,,Deepadung2015,,,,,1841
XiangZhaiTang-11_stone-1,,XiangZhaiTang,11_stone,maːw,maːw,m aːu̯,,Deepadung2015,,,,,1841
PongNuea-11_stone-1,,PongNuea,11_stone,maːw,maːw,m aːu̯,,Deepadung2015,,,,,1841
NyaungGone-11_stone-1,,NyaungGone,11_stone,maw,maw,m au̯,,Deepadung2015,,,,,1841
NoeLae-11_stone-1,,NoeLae,11_stone,maw,maw,m au̯,,Deepadung2015,,,,,1841
BanPaw-11_stone-1,,BanPaw,11_stone,maw,maw,m au̯,,Deepadung2015,,,,,1841
ChaYeQing-11_stone-1,,ChaYeQing,11_stone,maːw,maːw,m aːu̯,,Deepadung2015,,,,,1841
GuangKa-11_stone-1,,GuangKa,11_stone,maːw,maːw,m aːu̯,,Deepadung2015,,,,,1841
MangBang-11_stone-1,,MangBang,11_stone,maːw,maːw,m aːu̯,,Deepadung2015,,,,,1841
NanSang-11_stone-1,,NanSang,11_stone,maːw,maːw,m aːu̯,,Deepadung2015,,,,,1841
NamHsan-12_mountain-1,,NamHsan,12_mountain,sur,sur,s u r,,Deepadung2015,,,,,1185
KhunHawt-12_mountain-1,,KhunHawt,12_mountain,sor,sor,s o r,,Deepadung2015,,,,,1185
HtanHsan-12_mountain-1,,HtanHsan,12_mountain,sur̥,sur̥,s u r̥,,Deepadung2015,,,,,1185
PangKham-12_mountain-1,,PangKham,12_mountain,ŋɔːt,ŋɔːt,ŋ ɔː t,,Deepadung2015,,,,,1183
ManLoi-12_mountain-1,,ManLoi,12_mountain,ŋauɁ,ŋauɁ,ŋ au̯ ʔ,,Deepadung2015,,,,,1183
MengDan-12_mountain-1,,MengDan,12_mountain,sul,sul,s u l,,Deepadung2015,,,,,1185
ChuDongGua-12_mountain-1,,ChuDongGua,12_mountain,kədiaŋ,kədiaŋ,k ə + d i/j a ŋ,,Deepadung2015,,,,,175 1184
XiangZhaiTang-12_mountain-1,,XiangZhaiTang,12_mountain,nɔn,nɔn,n ɔ n,,Deepadung2015,,,,,1183
PongNuea-12_mountain-1,,PongNuea,12_mountain,nɔːn,nɔːn,n ɔː n,,Deepadung2015,,,,,1183
NyaungGone-12_mountain-1,,NyaungGone,12_mountain,nɔn,nɔn,n ɔ n,,Deepadung2015,,,,,1183
NoeLae-12_mountain-1,,NoeLae,12_mountain,nɔn,nɔn,n ɔ n,,Deepadung2015,,,,,1183
BanPaw-12_mountain-1,,BanPaw,12_mountain,nɔn,nɔn,n ɔ n,,Deepadung2015,,,,,1183
ChaYeQing-12_mountain-1,,ChaYeQing,12_mountain,noː,noː,n oː,,Deepadung2015,,,,,1183
GuangKa-12_mountain-1,,GuangKa,12_mountain,koŋ,koŋ,k o ŋ,,Deepadung2015,,,,,1183
MangBang-12_mountain-1,,MangBang,12_mountain,nɔː,nɔː,n ɔː,,Deepadung2015,,,,,1183
NanSang-12_mountain-1,,NanSang,12_mountain,kɔŋ,kɔŋ,k ɔ ŋ,,Deepadung2015,,,,,1183
NamHsan-13_tree-1,,NamHsan,13_tree,ɗɨŋ heː,ɗɨŋ heː,ɗ ɨ ŋ + h eː,,Deepadung2015,,,,,2018 2017
KhunHawt-13_tree-1,,KhunHawt,13_tree,ɗәŋ hej,ɗәŋ hej,ɗ ə ŋ + h ei̯,,Deepadung2015,,,,,2018 2017
HtanHsan-13_tree-1,,HtanHsan,13_tree,ɗɨŋ hej,ɗɨŋ hej,ɗ ɨ ŋ + h ei̯,,Deepadung2015,,,,,2018 2017
PangKham-13_tree-1,,PangKham,13_tree,hej,hej,h ei̯,,Deepadung2015,,,,,2017
ManLoi-13_tree-1,,ManLoi,13_tree,daŋ heː,daŋ heː,d a ŋ + h eː,,Deepadung2015,,,,,2018 2017
MengDan-13_tree-1,,MengDan,13_tree,hi,hi,h i,,Deepadung2015,,,,,2017
ChuDongGua-13_tree-1,,ChuDongGua,13_tree,hi,hi,h i,,Deepadung2015,,,,,2017
XiangZhaiTang-13_tree-1,,XiangZhaiTang,13_tree,daŋhej,daŋhej,d a ŋ + h ei̯,,Deepadung2015,,,,,2018 2017
PongNuea-13_tree-1,,PongNuea,13_tree,hej,hej,h ei̯,,Deepadung2015,,,,,2017
NyaungGone-13_tree-1,,NyaungGone,13_tree,he,he,h e,,Deepadung2015,,,,,2017
NoeLae-13_tree-1,,NoeLae,13_tree,he,he,h e,,Deepadung2015,,,,,2017
BanPaw-13_tree-1,,BanPaw,13_tree,he,he,h e,,Deepadung2015,,,,,2017
