ID,Form_ID,Form,Cognateset_ID,Doubt,Cognate_Detection_Method,Source,Alignment,Alignment_Method,Alignment_Source
GuangKa-10_earthsoil-1-1,GuangKa-10_earthsoil-1,kataːj,2-10,false,expert,Deepadung2015,,,
MangBang-10_earthsoil-1-1,MangBang-10_earthsoil-1,kataːj,2-10,false,expert,Deepadung2015,,,
NanSang-10_earthsoil-1-1,NanSang-10_earthsoil-1,kataːj,2-10,false,expert,Deepadung2015,,,
NamHsan-11_stone-1-1,NamHsan-11_stone-1,moː,1-11,false,expert,Deepadung2015,,,
KhunHawt-11_stone-1-1,KhunHawt-11_stone-1,moːw,2-11,false,expert,Deepadung2015,,,
HtanHsan-11_stone-1-1,HtanHsan-11_stone-1,moːw,2-11,false,expert,Deepadung2015,,,
PangKham-11_stone-1-1,PangKham-11_stone-1,maːw,2-11,false,expert,Deepadung2015,,,
ManLoi-11_stone-1-1,ManLoi-11_stone-1,maːw,2-11,false,expert,Deepadung2015,,,
MengDan-11_stone-1-1,MengDan-11_stone-1,mɛːw,2-11,false,expert,Deepadung2015,,,
ChuDongGua-11_stone-1-1,ChuDongGua-11_stone-1,maːw,2-11,false,expert,Deepadung2015,,,
XiangZhaiTang-11_stone-1-1,XiangZhaiTang-11_stone-1,maːw,2-11,false,expert,Deepadung2015,,,
PongNuea-11_stone-1-1,PongNuea-11_stone-1,maːw,2-11,false,expert,Deepadung2015,,,
NyaungGone-11_stone-1-1,NyaungGone-11_stone-1,maw,2-11,false,expert,Deepadung2015,,,
NoeLae-11_stone-1-1,NoeLae-11_stone-1,maw,2-11,false,expert,Deepadung2015,,,
BanPaw-11_stone-1-1,BanPaw-11_stone-1,maw,2-11,false,expert,Deepadung2015,,,
ChaYeQing-11_stone-1-1,ChaYeQing-11_stone-1,maːw,2-11,false,expert,Deepadung2015,,,
GuangKa-11_stone-1-1,GuangKa-11_stone-1,maːw,2-11,false,expert,Deepadung2015,,,
MangBang-11_stone-1-1,MangBang-11_stone-1,maːw,2-11,false,expert,Deepadung2015,,,
NanSang-11_stone-1-1,NanSang-11_stone-1,maːw,2-11,false,expert,Deepadung2015,,,
NamHsan-12_mountain-1-1,NamHsan-12_mountain-1,sur,1-12,false,expert,Deepadung2015,,,
KhunHawt-12_mountain-1-1,KhunHawt-12_mountain-1,sor,1-12,false,expert,Deepadung2015,,,
HtanHsan-12_mountain-1-1,HtanHsan-12_mountain-1,sur̥,1-12,false,expert,Deepadung2015,,,
PangKham-12_mountain-1-1,PangKham-12_mountain-1,ŋɔːt,2-12,false,expert,Deepadung2015,,,
ManLoi-12_mountain-1-1,ManLoi-12_mountain-1,ŋauɁ,2-12,false,expert,Deepadung2015,,,
MengDan-12_mountain-1-1,MengDan-12_mountain-1,sul,2-12,false,expert,Deepadung2015,,,
ChuDongGua-12_mountain-1-1,ChuDongGua-12_mountain-1,kədiaŋ,3-12,false,expert,Deepadung2015,,,
XiangZhaiTang-12_mountain-1-1,XiangZhaiTang-12_mountain-1,nɔn,2-12,false,expert,Deepadung2015,,,
PongNuea-12_mountain-1-1,PongNuea-12_mountain-1,nɔːn,2-12,false,expert,Deepadung2015,,,
NyaungGone-12_mountain-1-1,NyaungGone-12_mountain-1,nɔn,2-12,false,expert,Deepadung2015,,,
NoeLae-12_mountain-1-1,NoeLae-12_mountain-1,nɔn,2-12,false,expert,Deepadung2015,,,
BanPaw-12_mountain-1-1,BanPaw-12_mountain-1,nɔn,2-12,false,expert,Deepadung2015,,,
ChaYeQing-12_mountain-1-1,ChaYeQing-12_mountain-1,noː,4-12,false,expert,Deepadung2015,,,
GuangKa-12_mountain-1-1,GuangKa-12_mountain-1,koŋ,5-12,false,expert,Deepadung2015,,,
MangBang-12_mountain-1-1,MangBang-12_mountain-1,nɔː,4-12,false,expert,Deepadung2015,,,
NanSang-12_mountain-1-1,NanSang-12_mountain-1,kɔŋ,5-12,false,expert,Deepadung2015,,,
NamHsan-13_tree-1-1,NamHsan-13_tree-1,ɗɨŋ heː,1-13,false,expert,Deepadung2015,,,
KhunHawt-13_tree-1-1,KhunHawt-13_tree-1,ɗәŋ hej,1-13,false,expert,Deepadung2015,,,
